Título	Fuente	URL	Extracto	Fecha de Extracción	
Una comisión especial investiga las causas del ...	www.elcomercio.com	https://www.elcomercio.com/actualidad/quito/comision-investigacion-causas-deslizamiento-eltroje.html	7 dic 2017 — Una comisión especial investiga las causas del deslizamiento en El Troje. Es la escombrera más grande de Quito, y el martes 5 de diciembre del ...	2025-01-03T00:16:33.343Z	
Por emergencia en El Troje se suspenden las clases en ...	www.quitoinforma.gob.ec	https://www.quitoinforma.gob.ec/2017/12/06/por-emergencia-en-el-troje-se-suspenden-las-clases-en-algunos-sectores-de-quito/	6 dic 2017 — Por emergencia en El Troje se suspenden las clases en algunos sectores de Quito. 6 diciembre, 2017 6 diciembre, 2017 ... deslizamiento de ...	2025-01-03T00:16:33.343Z	
¿Qué ocasionó el deslizamiento en El Troje?	www.metroecuador.com.ec	https://www.metroecuador.com.ec/ec/noticias/2017/12/08/ocasiono-deslizamiento-troje.html	8 dic 2017 — En el sector El Troje, en el sur de Quito, ocurrió un deslizamiento de tierra que además, causó la suspensión del servicio de agua potable en ...	2025-01-03T00:16:33.344Z	
escombrera el troje iv	www7.quito.gob.ec	https://www7.quito.gob.ec/mdmq_ordenanzas/Circulares/2017/081%20%20%20Escombrera%20El%20Troje/EMGIRS/8.%20Declaraci%C3%B3n%20de%20emergencia%20y%20reportes%20a%20MAE/informe%2010-12-17.pdf	REGISTRO FOTOGRÁFICO AÑO 2017. LOCACIÓN: ESCOMBRERA EL TROJE IV. UBICACIÓN: QUITO. PARROQUIA: TURUMBAMBA. ACTIVIDAD: ACTIVIDADES DE CONTINGENCIA. DESLIZAMIENTO ...	2025-01-03T00:16:33.345Z	
Derrumbe en El Troje afectó un canal que dota de agua al ...	www.elcomercio.com	https://www.elcomercio.com/galerias/derrumbe-eltroje-afecto-agua-quito.html	7 dic 2017 — Un deslizamiento de 100 000 m3 de tierra en la escombrera de El Troje (sur) provocó un desabastecimiento de agua en 171 barrios de la ...	2025-01-03T00:16:33.345Z	
Trabajos de limpieza de tierra en El Troje es ininterrumpido	www.quitoinforma.gob.ec	https://www.quitoinforma.gob.ec/2017/12/07/trabajos-de-limpieza-de-tierra-en-el-troje-es-ininterrumpido/	7 dic 2017 — 7 diciembre, 2017 7 diciembre, 2017 1757 ... deslizamiento de tierra en la escombrera de El Troje, al sur de la capital, la Alcaldía de Quito ...	2025-01-03T00:16:33.346Z	
50 tanqueros reparten agua en Quito tras deslizamiento ...	www.eltelegrafo.com.ec	https://www.eltelegrafo.com.ec/noticias/quito/1/35-tanqueros-reparten-agua-en-quito-ante-suspension-del-servicio-por-deslizamiento-en-el-troje	7 dic 2017 — 50 tanqueros reparten agua en Quito tras deslizamiento en El Troje · 20.000 árboles fueron plantados en zonas afectadas por los incendios en ...	2025-01-03T00:16:33.346Z	
Noticias	www.emgirs.gob.ec	https://www.emgirs.gob.ec/index.php/noticiasep/2-uncategorised?start=5	Detalles: 21 Octubre 2018. En 2017, un deslizamiento de grandes proporciones en la escombrera El Troje IV afectó el canal Pita – Tambo, dejando sin agua por ...	2025-01-03T00:16:33.347Z	
646 colegios no tendrán clases por el corte de agua en Quito	reliefweb.int	https://reliefweb.int/report/ecuador/646-colegios-no-tendr-n-clases-por-el-corte-de-agua-en-quito	7 dic 2017 — Un deslizamiento de 100 000 m3 de tierra en la escombrera de El Troje (sur) provocó un desabastecimiento en 171 barrios de la capital. El ...	2025-01-03T00:16:33.348Z	
Organismos advirtieron sobre riesgos en el Troje	www.lahora.com.ec	https://www.lahora.com.ec/noticias/organismos-advirtieron-sobre-riesgos-en-el-troje/	26 dic 2017 — ... Quito, ya establecía los riesgos de deslaves y deslizamientos de ... deslizamiento de tierra en El Troje. Finalmente, el organismo ...	2025-01-03T00:16:33.348Z	
Mauricio Rodas	twitter.com	https://twitter.com/mauriciorodasec/status/938517772581195776	6 dic 2017 — Anoche, a las 23h20, se produjo un deslizamiento de tierra en la escombrera El Troje ... 9:17 PM · Dec 6, 2017 from Quito, Ecuador · 63.	2025-01-03T00:16:33.348Z	
Bomberos Quito	twitter.com	https://twitter.com/BomberosQuito/status/938777055482826752	7 dic 2017 — ... deslizamiento de tierra registrado en el sector de El Troje. #EmergenciaCBQ. ... 2:27 PM · Dec 7, 2017 from Quito, Ecuador · 20. Reposts · 16.	2025-01-03T00:16:33.348Z	
Deslizamiento de El Troje será investigado por una ...	www.radiopichincha.com	https://www.radiopichincha.com/deslizamiento-de-el-troje-sera-investigado-por-una-comision-especial/	8 dic 2017 — La noche del martes 5 de diciembre la escombrera más grande de Quito, El Troje, colapsó, alrededor de 150.000 m³ de tierra se deslizaron por ...	2025-01-03T00:16:33.349Z	
